custorm_id,latitude,longitude,create_time
201803,120.1526868,30.1880279,2018-03-20 11:32:00
201803,120.1735216,30.2456736,2018-03-23 10:26:00
201803,120.408666,30.2227803,2018-03-23 19:40:00
201803,120.2158981,30.2086034,2018-03-15 07:26:00
201803,120.1710611,30.2703504,2018-03-15 18:22:00
201803,120.2403802,29.2776867,2018-03-23 21:23:00
201803,,,2018-03-16 07:37:00
201803,,,2018-03-15 07:39:00
201803,120.1234902,30.354732,2018-03-15 18:35:00
201803,120.2060581,30.1999803,2018-03-15 07:22:00
201803,120.1464366,30.3322008,2018-03-15 21:24:00
201803,120.1777222,30.1941501,2018-03-15 07:36:00
201803,120.171061,30.2698503,2018-03-15 18:21:00
201803,120.2231361,30.2225808,2018-03-23 18:55:00
201803,120.2440362,29.2857806,2018-03-23 21:21:00
201803,120.2403389,29.2606649,2018-03-23 21:29:00
201803,120.228777,29.2573409,2018-03-23 21:39:00
201803,120.2455748,29.290123,2018-03-23 21:20:00
201803,120.1715585,30.2573483,2018-03-22 19:40:00
201803,120.1548592,30.2788605,2018-03-22 10:56:00
201803,120.2140698,30.2040174,2018-03-18 15:22:00
201803,120.217393,30.1990414,2018-03-18 12:57:00
201803,120.2174863,30.2098549,2018-03-18 15:19:00
201803,120.2138253,30.2015834,2018-03-17 12:22:00
201803,120.2142168,30.1994613,2018-03-17 12:22:00
201803,120.2059861,30.2003367,2018-03-17 15:44:00
201803,120.2177569,30.2100531,2018-03-17 12:18:00
201803,120.1553506,30.3117635,2018-03-22 23:36:00
201803,120.1696661,30.2799539,2018-03-22 10:51:00
201803,120.1587961,30.2564716,2018-03-22 15:09:00
201803,120.1933,30.3292459,2018-03-15 21:33:00
201803,120.1634836,30.2703644,2018-03-15 18:16:00
201803,120.2060581,30.1999803,2018-03-17 09:23:00
201803,120.2717407,29.2917386,2018-03-24 15:50:00
201803,120.2296768,29.2743319,2018-03-24 15:39:00
201803,120.2677817,29.3016829,2018-03-24 15:51:00
201803,120.2419061,29.2508071,2018-03-24 12:30:00
201803,120.1735216,30.2456736,2018-03-18 11:34:00
201803,120.2107327,30.1987965,2018-03-18 12:23:00
201803,120.220432,30.225424,2018-03-18 13:05:00
201803,120.1986376,30.2413672,2018-03-18 12:06:00
201803,120.2106061,30.1920128,2018-03-20 18:28:00
201803,120.2102586,30.1984308,2018-03-20 18:31:00
201803,120.1700648,30.2788031,2018-03-22 10:53:00
201803,120.1715586,30.2583483,2018-03-22 23:44:00
201803,120.1909955,30.1956078,2018-03-16 10:28:00
201803,120.2245396,30.2219563,2018-03-16 07:36:00
201803,120.2024816,30.2031699,2018-03-24 18:31:00
201803,120.2227968,30.2231512,2018-03-15 21:46:00
201803,120.220432,30.225424,2018-03-15 21:45:00
201803,120.1421476,30.3322071,2018-03-15 21:22:00
201803,120.1735216,30.2456736,2018-03-10 08:03:00
201803,120.2119371,30.1722724,2018-03-20 18:18:00
201803,120.1989767,30.2415966,2018-03-19 07:34:00
201803,120.2227968,30.2231512,2018-03-19 18:40:00
201803,120.1986376,30.2413672,2018-03-17 12:10:00
201803,120.220432,30.225424,2018-03-23 18:13:00
201803,120.2273103,29.2648175,2018-03-24 14:50:00
201803,120.2371127,29.2506096,2018-03-24 09:57:00
201803,120.1933,30.3292459,2018-03-18 14:47:00
201803,120.1994752,30.2407057,2018-03-18 15:02:00
201803,120.19579,30.2953072,2018-03-18 13:18:00
201803,120.1990565,30.2423265,2018-03-18 13:10:00
201803,120.2001403,30.2025188,2018-03-10 07:48:00
201803,120.1735216,30.2456736,2018-03-11 07:21:00
201803,120.1689683,30.2817554,2018-03-22 10:53:00
201803,,,2018-03-11 15:49:00
201803,120.1715575,30.2458473,2018-03-22 15:16:00
201803,120.1897989,30.1955099,2018-03-22 10:40:00
201803,120.1986376,30.2413672,2018-03-23 18:06:00
201803,120.1787191,30.1945069,2018-03-20 10:57:00
201803,120.1658747,30.1895555,2018-03-20 11:00:00
201803,120.2099914,30.209095,2018-03-23 09:59:00
201803,120.2129198,30.2135886,2018-03-23 08:52:00
201803,120.2220385,30.2241421,2018-03-23 18:55:00
201803,120.2060581,30.1999803,2018-03-23 07:56:00
201803,120.2136502,30.2039784,2018-03-23 18:28:00
201803,120.2174863,30.2098549,2018-03-15 21:49:00
201803,120.1550779,30.2709294,2018-03-15 18:15:00
201803,120.2174863,30.2098549,2018-03-23 18:24:00
201803,120.1989767,30.2415966,2018-03-16 07:41:00
201803,120.1701643,30.2771527,2018-03-18 18:12:00
201803,120.1350611,30.2928115,2018-03-18 20:36:00
201803,120.2285663,30.2063982,2018-03-18 12:19:00
201803,120.2025718,30.2029186,2018-03-18 22:15:00
201803,120.1715585,30.2573483,2018-03-18 18:05:00
201803,120.2024816,30.2031699,2018-03-18 11:07:00
201803,120.2230164,30.2235609,2018-03-16 07:36:00
201803,120.2060581,30.1999803,2018-03-16 07:22:00
201803,120.1780384,30.2504354,2018-03-20 10:38:00
201803,120.1691586,30.1735476,2018-03-20 18:15:00
201803,120.1689821,30.327221,2018-03-15 21:28:00
201803,,,2018-03-15 18:36:00
201803,120.210113,30.1965254,2018-03-17 12:29:00
201803,120.2145492,30.1968526,2018-03-17 12:23:00
201803,120.2060581,30.1999803,2018-03-19 07:22:00
201803,120.215739,30.1845258,2018-03-17 15:33:00
201803,120.1909955,30.1956078,2018-03-18 20:59:00
201803,120.2001403,30.2025188,2018-03-18 11:07:00
201804,,,2018-03-18 12:26:00
201804,120.220432,30.225424,2018-03-18 12:10:00
201804,120.1689821,30.327221,2018-03-18 14:38:00
201804,120.2060581,30.1999803,2018-03-23 07:56:00
201804,120.2227968,30.2231512,2018-03-23 18:13:00
201804,120.2099822,30.2086271,2018-03-23 10:00:00
201804,120.2122929,30.2100233,2018-03-23 08:55:00
201804,120.2174863,30.2098549,2018-03-19 18:44:00
201804,120.2059861,30.2003367,2018-03-19 18:51:00
201804,120.3017833,30.219713,2018-03-23 19:00:00
201804,120.2059861,30.2003367,2018-03-23 18:32:00
201804,120.3930997,30.2174359,2018-03-23 19:07:00
201804,120.2172184,29.1044377,2018-03-23 21:29:00
201804,120.228777,29.2573409,2018-03-23 21:41:00
201804,120.2227968,30.2231512,2018-03-18 15:09:00
201804,120.2103434,30.196763,2018-03-18 12:23:00
201804,120.220432,30.225424,2018-03-18 15:09:00
201804,120.1959895,30.2954068,2018-03-18 14:52:00
201804,120.2176643,30.2003322,2018-03-18 12:22:00
201804,120.2059861,30.2003367,2018-03-18 15:26:00
201804,120.1423434,30.2887013,2018-03-18 20:42:00
201804,120.1933,30.3292459,2018-03-18 13:26:00
201804,120.2227968,30.2231512,2018-03-18 12:10:00
201804,120.2025718,30.2029186,2018-03-13 19:32:00
